paises;fecha;deficit_millones;deficit_pbi;deuda_millones;deuda_pbi;deuda_per_capita
Bulgaria;2017;488;1,6;13.588;25,1;2.011
Bahrain;2017;-4.976;-13,38;31.263;84,03;20.828
Burundi;2017;-159;-5,01;1.488;46,9;129
Benin;2017;-534;-4,18;5.028;39,38;418
Brunei;2017;-1.261;-10,4;343;2,83;804
Bolivia;2017;-2.968;-7,86;19.367;51,26;1.737
Brazil;2017;-164.456;-7,97;1.707.458;82,75;8.320
Bahamas;2017;-736;-6,09;6.650;55,03;17.639
Bhutan;2017;-111;-4,49;2.562;104,08;3.403
Botswana;2017;-186;-1,14;3.189;19,59;1.327
Belarus;2017;-184;-0,34;29.091;53,16;3.065
Belize;2017;-79;-3,48;1.770;78,12;4.771
Canada;2017;-1.854;-0,11;1.499.880;90,94;41.042
Democratic Republic of the Congo;2017;-21;-0,05;9.147;23,18;111
Central African Republic;2017;-22;-1;1.041;47,38;219
Republic of Congo;2017;-659;-5,57;10.467;88,48;1.970
Switzerland;2017;7.858;0,9;290.396;41,75;34.228
Côte d'Ivoire;2017;-1.719;-3,27;17.116;32,6;652
Chile;2017;-7.261;-2,63;65.363;23,65;3.549
Cameroon;2017;-1.705;-4,73;13.185;36,54;546
Colombia;2017;-7.783;-2,5;154.225;49,45;3.252
Costa Rica;2017;-3.558;-5,88;28.482;47,06;5.735
Cape Verde;2017;-53;-2,64;2.256;112,99;4.549
Cyprus;2017;488;2,1;22.107;96,5;25.161
Czechia;2017;3.236;1,5;74.848;33,8;7.054
Djibouti;2017;-6;-0,21;1.326;47,99;1.405
Denmark;2017;5.601;1,7;133.150;40,2;23.032
Dominica;2017;-17;-3,27;453;84,01;6.609
Dominican Republic;2017;-2.473;-3,12;39.165;49,48;3.851
Algeria;2017;-14.340;-7,55;45.630;24,02;1.094
Ecuador;2017;-6.030;-5,77;49.509;47,39;2.948
Estonia;2017;-292;-0,5;2.591;9,4;1.964
Egypt;2017;-24.432;-9,9;241.397;97,8;2.536
Eritrea;2017;-109;-5,74;5.529;290,39;1.755
Ethiopia;2017;-2.492;-3,24;42.476;55,28;455
Finland;2017;-1.597;-0,6;168.953;66,6;30.646
Fiji;2017;-109;-2,09;2.260;43,43;2.554
Federated States of Micronesia;2017;52;14,48;86;23,92;851
Gabon;2017;-254;-1,7;9.391;62,93;4.354
Grenade;2017;34;3,02;792;70,33;7.133
Georgia;2017;-75;-0,45;6.407;38,89;1.718
Ghana;2017;-2.395;-3,97;34.410;56,98;1.147
Gambia;2017;-65;-4,35;1.303;86,98;589
Guinea;2017;-205;-1,99;4.119;39,9;333
Equatorial Guinea;2017;-316;-2,59;4.420;36,24;2.829
Greece;2017;2.113;0,7;365.811;182,1;34.057
Guatemala;2017;-991;-1,38;17.956;25,07;1.084
Guinea-Bissau;2017;-19;-1,32;761;51,78;447
Guyana;2017;-149;-3,14;2.187;46,06;2.811
Hong Kong;2017;19.116;5,49;192;0,06;26
Honduras;2017;-94;-0,41;10.088;43,6;1.069
Croatia;2017;449;0,6;42.783;76,2;10.658
Haiti;2017;-48;-0,32;3.386;22,52;313
Hungary;2017;-3.519;-2,5;103.204;72;10.625
Indonesia;2017;-22.993;-2,26;298.547;29,4;1.142
Ireland;2017;-1.037;-0,3;227.278;65,2;46.806
Israel;2017;-4.044;-1,13;213.790;59,83;24.545
India;2017;-165.114;-6,23;1.847.266;69,67;1.359
Iraq;2017;-2.890;-1,52;106.187;55,87;2.699
Iran;2017;-7.856;-1,61;219.289;45,04;2.705
Iceland;2017;242;1,3;17.741;70,79;50.913
Jamaica;2017;68;0,45;15.199;101,23;5.576
Jordan;2017;-1.505;-3,61;35.876;86,1;3.512
Kenya;2017;-6.062;-7,4;44.151;53,87;972
